City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Vaini,TO,80.76,scattered clouds,-21.2,-175.2,Keleti Beach Resort
8,Atuona,PF,77.74,overcast clouds,-9.8,-139.0333,Villa Enata
9,Dingle,PH,85.82,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
11,Bengkulu,ID,83.35,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
13,Butaritari,KI,82.26,few clouds,3.0707,172.7902,Isles Sunset Lodge
18,Rikitea,PF,75.9,clear sky,-23.1203,-134.9692,People ThankYou
21,Langsa,ID,87.1,light rain,4.4683,97.9683,OYO 2964 Hotel Ridho
22,Hithadhoo,MV,81.12,light rain,-0.6,73.0833,Scoop Guest House
23,Carnarvon,AU,77.07,clear sky,-24.8667,113.6333,Hospitality Carnarvon
24,Hilo,US,75.27,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
26,Campo Maior,BR,79.38,overcast clouds,-4.8278,-42.1686,Elite Hotel
28,Manthani,IN,79.63,overcast clouds,18.65,79.6667,Arepelli kumar muncipal vice chairman
33,Veraval,IN,82.78,overcast clouds,20.9,70.3667,Lords Inn Somnath
35,Biak,ID,83.71,broken clouds,-0.9131,122.8766,Penginapan Kim
37,Islamkot,PK,79.02,clear sky,24.6997,70.177,Haji Hotel
40,Moussoro,TD,75.06,few clouds,13.6408,16.4901,Hôtel Salama
42,Avarua,CK,77.05,overcast clouds,-21.2078,-159.775,Paradise Inn
52,Quatre Cocos,MU,80.1,clear sky,-20.2078,57.7625,Sunrise Attitude Hotel
61,Palembang,ID,87.89,light rain,-2.9167,104.7458,ASTON Palembang Hotel & Conference Center
62,Hobart,AU,82.02,broken clouds,-42.8794,147.3294,Mantra on Collins Hobart
64,Saint-Philippe,RE,81.95,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
65,Leeton,AU,80.89,overcast clouds,-34.5667,146.4,Historic Hydro Motor Inn
67,Sibolga,ID,85.06,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
68,Guanica,PR,78.91,scattered clouds,17.9716,-66.908,Copamarina Beach Resort & Spa
69,Kavieng,PG,83.8,light rain,-2.5744,150.7967,Nusa Island Retreat
71,Kilindoni,TZ,80.1,broken clouds,-7.9139,39.6668,Bustani B&B
72,Sur,OM,79.09,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
74,New Norfolk,AU,81.66,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
77,Kapaa,US,78.78,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
84,Lafia,NG,76.01,overcast clouds,8.4833,8.5167,Low Cost Housing Estate
100,Acapulco,MX,78.48,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
103,Road Town,VG,78.01,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
114,Mitsamiouli,KM,82.69,few clouds,-11.3847,43.2844,Foyer ADM
121,Padang,ID,87.85,overcast clouds,-0.9492,100.3543,Mercure Padang
122,Dzaoudzi,YT,82.29,broken clouds,-12.7887,45.2699,Le Rocher
123,Manggar,ID,88.09,overcast clouds,-2.8833,108.2667,Guest Hotel
124,Launceston,AU,75.61,broken clouds,-41.45,147.1667,Hotel Grand Chancellor Launceston
125,Cap Malheureux,MU,80.47,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
127,Airai,TL,77.95,overcast clouds,-8.9266,125.4092,Juvinal Martin
131,Port Macquarie,AU,75.88,broken clouds,-31.4333,152.9167,Rydges Port Macquarie
138,Labuhan,ID,87.24,light rain,-6.8844,112.2051,PT PPI Lamongan Tambak C
152,Mahebourg,MU,80.26,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
153,Kuah,MY,87.8,light rain,6.3265,99.8432,Azio Hotel
154,Makakilo City,US,79.12,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
155,Cockburn Town,TC,81.21,clear sky,21.4612,-71.1419,Osprey Beach Hotel
161,Orocue,CO,76.68,overcast clouds,4.7912,-71.3354,Hotel Brisas de San Miguel
165,Bambous Virieux,MU,80.22,few clouds,-20.3428,57.7575,Casa Tia Villa
166,Bandarbeyla,SO,78.57,overcast clouds,9.4942,50.8122,JABIR HOTEL
169,Yulara,AU,84.04,scattered clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
171,Rivadavia,AR,79.27,clear sky,-33.1905,-68.4608,Posada Del Fin Del Mundo
176,Anito,PH,85.57,broken clouds,12.4497,125.2886,FELIPA LAODENIO PROPERTY
179,Iquitos,PE,77.04,broken clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
180,Ugoofaaru,MV,81.48,overcast clouds,5.6667,73.0,Ungoofaaru Inn
189,Alofi,NU,82.29,broken clouds,-19.0595,-169.9187,Taloa Heights
195,Ambilobe,MG,78.85,broken clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
196,Carutapera,BR,78.12,scattered clouds,-1.195,-46.02,Lidera
203,Kavaratti,IN,81.28,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
207,Souillac,MU,81.36,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
208,Lorengau,PG,79.66,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
212,Port-Gentil,GA,79.3,light rain,-0.7193,8.7815,Fengshui Residence
216,Lobito,AO,75.97,overcast clouds,-12.3481,13.5456,Casa Rosa Hotel Residence
219,Bairnsdale,AU,80.47,overcast clouds,-37.8333,147.6167,Town Central Motel
222,Porto Novo,BJ,82.22,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
232,Galle,LK,82.15,overcast clouds,6.0367,80.217,Amangalla
236,Hambantota,LK,82.15,overcast clouds,6.1241,81.1185,Bungalow 63
240,Nkhata Bay,MW,78.46,broken clouds,-11.6066,34.2907,Mayoka Village
243,Grand Gaube,MU,81.37,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
248,Kloulklubed,PW,88.3,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
249,Kieta,PG,84.52,light rain,-6.2167,155.6333,Uruna Bay Retreat
