City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Saskylakh,RU,71.9167,114.0833,-24.77,98,11,8.68,few clouds
1,Chokurdakh,RU,70.6333,147.9167,-12.5,99,100,5.48,overcast clouds
2,Esperance,AU,-33.8667,121.9,63.18,67,83,16.91,broken clouds
3,Albany,US,42.6001,-73.9662,32.36,71,20,1.99,few clouds
4,Vaini,TO,-21.2,-175.2,80.76,89,40,6.91,scattered clouds
5,Manzhouli,CN,49.6,117.4333,9.99,60,1,13.69,clear sky
6,Mataura,NZ,-46.1927,168.8643,61.97,47,83,6.46,broken clouds
7,Nanortalik,GL,60.1432,-45.2371,20.86,74,5,13.98,clear sky
8,Atuona,PF,-9.8,-139.0333,77.74,75,100,9.1,overcast clouds
9,Dingle,PH,10.9995,122.6711,85.82,72,67,13.2,broken clouds
10,East London,ZA,-33.0153,27.9116,63.54,94,40,6.91,moderate rain
11,Bengkulu,ID,-3.8004,102.2655,83.35,65,90,4.45,overcast clouds
12,Kaduy,RU,59.2,37.15,12.24,97,55,4.68,broken clouds
13,Butaritari,KI,3.0707,172.7902,82.26,77,20,11.61,few clouds
14,Bluff,NZ,-46.6,168.3333,56.39,70,38,12.53,scattered clouds
15,Kidal,ML,18.4411,1.4078,72.45,30,16,9.42,few clouds
16,Punta Arenas,CL,-53.15,-70.9167,39.31,65,75,1.14,broken clouds
17,La Dorada,CO,5.4478,-74.6631,72.99,97,96,1.25,overcast clouds
18,Rikitea,PF,-23.1203,-134.9692,75.9,76,1,11.36,clear sky
19,Vega De Alatorre,MX,20.0333,-96.6333,72.99,89,69,7.31,broken clouds
20,Puerto Ayora,EC,-0.7393,-90.3518,68.02,75,28,6.6,scattered clouds
21,Langsa,ID,4.4683,97.9683,87.1,64,100,2.13,light rain
22,Hithadhoo,MV,-0.6,73.0833,81.12,79,100,17.96,light rain
23,Carnarvon,AU,-24.8667,113.6333,77.07,53,0,21.85,clear sky
24,Hilo,US,19.7297,-155.09,75.27,96,90,0.0,moderate rain
25,Camaguey,CU,21.3808,-77.9169,71.94,94,1,5.75,clear sky
26,Campo Maior,BR,-4.8278,-42.1686,79.38,74,100,6.55,overcast clouds
27,Tyristrand,NO,60.0837,10.0966,40.01,86,83,1.07,broken clouds
28,Manthani,IN,18.65,79.6667,79.63,82,98,2.13,overcast clouds
29,Ushuaia,AR,-54.8,-68.3,38.86,70,75,11.5,broken clouds
30,Turukhansk,RU,65.8167,87.9833,15.24,90,100,20.58,light snow
31,Matamoros,MX,25.5333,-103.25,64.51,62,1,0.0,clear sky
32,Paamiut,GL,61.994,-49.6678,12.2,76,0,7.36,clear sky
33,Veraval,IN,20.9,70.3667,82.78,67,93,5.97,overcast clouds
34,Rabo De Peixe,PT,37.8,-25.5833,67.28,99,75,12.66,broken clouds
35,Biak,ID,-0.9131,122.8766,83.71,72,63,1.16,broken clouds
36,Hermanus,ZA,-34.4187,19.2345,55.8,80,12,8.19,few clouds
37,Islamkot,PK,24.6997,70.177,79.02,12,1,1.39,clear sky
38,Lesnyye Polyany,RU,55.9667,37.8667,21.16,92,23,5.5,few clouds
39,Camacha,PT,33.0833,-16.3333,65.62,77,40,9.22,scattered clouds
40,Moussoro,TD,13.6408,16.4901,75.06,19,23,11.01,few clouds
41,Languyan,PH,5.2618,120.0807,85.39,74,33,4.34,scattered clouds
42,Avarua,CK,-21.2078,-159.775,77.05,73,90,5.75,overcast clouds
43,Norman Wells,CA,65.282,-126.8329,-18.36,69,75,3.44,light snow
44,Ginda,IN,30.6945,78.4932,62.42,16,0,3.33,clear sky
45,Mar Del Plata,AR,-38.0023,-57.5575,56.08,65,0,1.01,clear sky
46,Nikolskoye,RU,59.7035,30.7861,27.01,96,100,5.41,overcast clouds
47,Busselton,AU,-33.65,115.3333,71.15,42,0,10.04,clear sky
48,Brae,GB,60.3964,-1.353,48.11,81,100,21.94,overcast clouds
49,Port Alfred,ZA,-33.5906,26.891,64.56,83,100,23.22,moderate rain
50,Utica,US,43.1009,-75.2327,32.31,93,96,1.01,overcast clouds
51,Aitape,PG,-3.1374,142.3475,84.79,72,57,5.61,broken clouds
52,Quatre Cocos,MU,-20.2078,57.7625,80.1,67,2,8.84,clear sky
53,Zhangjiakou,CN,40.81,114.8794,29.88,32,0,9.28,clear sky
54,Broome,US,42.2506,-75.833,30.02,69,1,1.01,clear sky
55,Colomi,BO,-17.35,-65.8667,59.07,84,100,2.57,overcast clouds
56,Uruacu,BR,-14.5247,-49.1408,73.27,89,100,0.43,overcast clouds
57,Leningradskiy,RU,69.3833,178.4167,-15.54,89,27,4.36,scattered clouds
58,Codrington,AU,-38.2667,141.9667,72.23,66,100,18.72,overcast clouds
59,Thompson,CA,55.7435,-97.8558,-2.04,78,90,4.61,light snow
60,Chuy,UY,-33.6971,-53.4616,63.55,67,8,16.58,clear sky
61,Palembang,ID,-2.9167,104.7458,87.89,70,40,2.3,light rain
62,Hobart,AU,-42.8794,147.3294,82.02,49,75,1.01,broken clouds
63,Premnitz,DE,52.5333,12.3333,42.39,85,83,9.71,broken clouds
64,Saint-Philippe,RE,-21.3585,55.7679,81.95,67,28,8.21,scattered clouds
65,Leeton,AU,-34.5667,146.4,80.89,39,90,8.05,overcast clouds
66,Prince Rupert,CA,54.3161,-130.3201,44.29,78,90,9.22,light rain
67,Sibolga,ID,1.7427,98.7792,85.06,64,100,4.81,overcast clouds
68,Guanica,PR,17.9716,-66.908,78.91,86,45,1.01,scattered clouds
69,Kavieng,PG,-2.5744,150.7967,83.8,77,58,12.86,light rain
70,Laguna,US,38.421,-121.4238,58.24,90,1,0.0,clear sky
71,Kilindoni,TZ,-7.9139,39.6668,80.1,67,67,7.83,broken clouds
72,Sur,OM,22.5667,59.5289,79.09,44,90,10.8,overcast clouds
73,Gornopravdinsk,RU,60.05,69.9,19.38,95,100,7.63,light snow
74,New Norfolk,AU,-42.7826,147.0587,81.66,35,100,1.99,overcast clouds
75,Pisco,PE,-13.7,-76.2167,67.01,82,90,11.5,overcast clouds
76,Ribeira Grande,PT,38.5167,-28.7,65.91,86,20,18.54,few clouds
77,Kapaa,US,22.0752,-159.319,78.78,80,90,1.01,overcast clouds
78,Khatanga,RU,71.9667,102.5,-2.15,79,99,22.82,overcast clouds
79,Port Elizabeth,ZA,-33.918,25.5701,62.89,77,90,12.66,overcast clouds
80,Provideniya,RU,64.3833,-173.3,10.51,52,1,11.18,clear sky
81,Guerrero Negro,MX,27.9769,-114.0611,69.51,54,100,7.92,overcast clouds
82,Pontal Do Parana,BR,-25.6533,-48.5128,71.73,92,24,2.1,few clouds
83,Yara,CU,20.2753,-76.9533,71.94,91,0,4.27,clear sky
84,Lafia,NG,8.4833,8.5167,76.01,52,100,3.13,overcast clouds
85,Yatou,CN,37.15,122.3833,43.63,41,68,19.66,broken clouds
86,Tuktoyaktuk,CA,69.4541,-133.0374,-5.8,77,75,10.36,broken clouds
87,Dong Hoi,VN,17.4833,106.6,65.68,90,100,12.77,overcast clouds
88,Castro,BR,-24.7911,-50.0119,61.68,61,52,2.46,broken clouds
89,Port Hardy,CA,50.6996,-127.4199,44.6,93,90,2.3,overcast clouds
90,Eureka,US,40.8021,-124.1637,50.2,77,26,6.24,scattered clouds
91,Korla,CN,41.7597,86.1469,31.86,50,7,3.06,clear sky
92,Zhigansk,RU,66.7697,123.3711,-18.62,95,100,9.01,overcast clouds
93,Namibe,AO,-15.1961,12.1522,68.2,78,63,5.19,broken clouds
94,Boone,US,39.0334,-92.3335,35.53,53,11,5.57,few clouds
95,Balao,EC,-2.9167,-79.8167,70.59,86,100,5.1,overcast clouds
96,Pokhara,NP,28.2333,83.9833,64.63,70,14,4.09,few clouds
97,Jamestown,US,42.097,-79.2353,33.39,63,90,4.0,light snow
98,Barrow,US,71.2906,-156.7887,-3.98,71,75,4.61,broken clouds
99,Yining,CN,29.0361,114.5636,54.97,33,20,1.66,few clouds
100,Acapulco,MX,16.8634,-99.8901,78.48,82,1,4.32,clear sky
101,Ilulissat,GL,69.2167,-51.1,17.62,62,20,17.27,few clouds
102,Bethel,US,41.3712,-73.414,37.04,62,1,3.44,clear sky
103,Road Town,VG,18.4167,-64.6167,78.01,73,32,13.78,scattered clouds
104,Vila Velha,BR,-20.3297,-40.2925,69.75,89,75,3.44,broken clouds
105,Kodiak,US,57.79,-152.4072,17.11,53,1,5.75,clear sky
