City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Jamestown,US,2021-11-20 19:46:31,42.097,-79.2353,44.02,46,1,5.99
1,Tasiilaq,GL,2021-11-20 19:46:32,65.6145,-37.6368,28.56,96,100,15.66
2,Upernavik,GL,2021-11-20 19:46:32,72.7868,-56.1549,3.56,82,88,9.17
3,Tuktoyaktuk,CA,2021-11-20 19:46:32,69.4541,-133.0374,-9.4,84,75,8.05
4,Rikitea,PF,2021-11-20 19:46:33,-23.1203,-134.9692,73.38,63,97,7.2
5,Bluff,NZ,2021-11-20 19:46:33,-46.6,168.3333,53.78,89,100,6.08
6,Kavaratti,IN,2021-11-20 19:46:33,10.5669,72.642,80.76,77,83,14.74
7,Busselton,AU,2021-11-20 19:46:33,-33.65,115.3333,59.04,68,88,8.68
8,Hilo,US,2021-11-20 19:44:42,19.7297,-155.09,81.25,73,20,4.61
9,Luis Correia,BR,2021-11-20 19:46:34,-2.8792,-41.6669,89.6,66,0,21.85
10,Quatre Cocos,MU,2021-11-20 19:46:35,-20.2078,57.7625,76.08,67,1,11.48
11,Qaanaaq,GL,2021-11-20 19:46:35,77.484,-69.3632,-6.07,69,0,6.76
12,Bahia Blanca,AR,2021-11-20 19:46:36,-38.7196,-62.2724,95.77,16,51,18.23
13,Bredasdorp,ZA,2021-11-20 19:46:36,-34.5322,20.0403,62.28,76,100,16.96
14,Vaini,TO,2021-11-20 19:46:36,-21.2,-175.2,80.76,89,20,4.61
15,Longyearbyen,SJ,2021-11-20 19:46:37,78.2186,15.6401,8.44,78,40,5.75
16,Constitucion,CL,2021-11-20 19:45:41,-35.3333,-72.4167,64.6,68,18,9.64
17,Ornskoldsvik,SE,2021-11-20 19:46:37,63.2909,18.7153,31.15,86,15,11.5
18,Katsuura,JP,2021-11-20 19:46:37,35.1333,140.3,55.18,75,14,6.2
19,Dingle,PH,2021-11-20 19:46:37,10.9995,122.6711,75.7,91,97,4.52
20,Coquimbo,CL,2021-11-20 19:43:16,-29.9533,-71.3436,62.33,72,40,12.66
21,Kahului,US,2021-11-20 19:44:48,20.8947,-156.47,82.98,72,20,0.0
22,Teya,RU,2021-11-20 19:46:38,60.3778,92.6267,-5.01,96,100,3.02
23,Aksarka,RU,2021-11-20 19:46:38,66.5606,67.7975,12.13,95,100,9.86
24,East London,ZA,2021-11-20 19:44:10,-33.0153,27.9116,64.18,78,100,12.41
25,Souillac,MU,2021-11-20 19:46:39,-20.5167,57.5167,76.35,73,75,9.22
26,Bangad,PH,2021-11-20 19:46:40,15.5036,121.0275,75.31,84,100,2.35
27,Butaritari,KI,2021-11-20 19:46:40,3.0707,172.7902,81.95,66,78,17.65
28,Ushuaia,AR,2021-11-20 19:46:40,-54.8,-68.3,38.86,70,75,36.82
29,Saint-Augustin,CA,2021-11-20 19:46:41,51.226,-58.6502,29.93,58,17,14.09
30,Iqaluit,CA,2021-11-20 19:46:42,63.7506,-68.5145,11.93,78,90,15.99
31,Avarua,CK,2021-11-20 19:46:42,-21.2078,-159.775,78.85,69,20,12.66
32,Kruisfontein,ZA,2021-11-20 19:46:42,-34.0033,24.7314,61.88,77,100,14.32
33,Tuatapere,NZ,2021-11-20 19:46:43,-46.1333,167.6833,52.74,91,100,2.53
34,Barrow,US,2021-11-20 19:46:43,71.2906,-156.7887,-0.38,78,20,6.91
35,Pergine Valsugana,IT,2021-11-20 19:46:43,46.065,11.238,46.29,73,9,2.15
36,Nevel,RU,2021-11-20 19:46:43,56.0209,29.9284,37.6,78,96,12.88
37,Byron Bay,AU,2021-11-20 19:46:44,-28.65,153.6167,70.05,91,100,3.22
38,Canico,PT,2021-11-20 19:46:44,32.6333,-16.85,65.71,81,20,8.05
39,Bengkulu,ID,2021-11-20 19:46:44,-3.8004,102.2655,75.67,90,44,4.45
40,Hobart,AU,2021-11-20 19:41:57,-42.8794,147.3294,53.11,92,20,8.05
41,Punta Arenas,CL,2021-11-20 19:42:24,-53.15,-70.9167,46.51,46,40,42.57
42,Mahebourg,MU,2021-11-20 19:46:45,-20.4081,57.7,76.24,73,75,9.22
43,Bethel,US,2021-11-20 19:46:45,41.3712,-73.414,46.72,46,1,3.0
44,Nanortalik,GL,2021-11-20 19:48:29,60.1432,-45.2371,37.81,99,100,8.25
45,Hithadhoo,MV,2021-11-20 19:48:29,-0.6,73.0833,80.82,81,100,17.22
46,Yar-Sale,RU,2021-11-20 19:48:30,66.8333,70.8333,7.05,94,100,17.49
47,Albany,US,2021-11-20 19:44:02,42.6001,-73.9662,45.09,55,100,1.99
48,Vila Franca Do Campo,PT,2021-11-20 19:48:30,37.7167,-25.4333,66.61,72,97,17.07
49,Mataura,NZ,2021-11-20 19:48:30,-46.1927,168.8643,54.48,93,100,4.23
50,Santa Marta,CO,2021-11-20 19:48:30,11.2408,-74.199,92.34,74,100,12.62
51,Airai,TL,2021-11-20 19:48:31,-8.9266,125.4092,61.99,88,27,1.77
52,Librazhd,AL,2021-11-20 19:48:31,41.1794,20.315,49.82,75,0,6.31
53,Alofi,NU,2021-11-20 19:48:31,-19.0595,-169.9187,80.49,78,6,9.22
54,Talcahuano,CL,2021-11-20 19:45:15,-36.7167,-73.1167,67.68,64,0,4.61
55,Cherskiy,RU,2021-11-20 19:48:32,68.75,161.3,-19.26,93,76,1.32
56,Lashio,MM,2021-11-20 19:48:32,22.9333,97.75,57.87,98,11,0.87
57,Ribeira Grande,PT,2021-11-20 19:48:32,38.5167,-28.7,66.6,77,75,26.46
58,San Angelo,US,2021-11-20 19:44:06,31.4638,-100.437,79.97,37,1,5.99
59,Ternate,ID,2021-11-20 19:48:33,0.8,127.4,80.91,78,12,2.64
60,Ostrovnoy,RU,2021-11-20 19:48:33,68.0531,39.5131,31.3,85,100,6.33
61,Beira,MZ,2021-11-20 19:48:33,-19.8436,34.8389,80.69,83,40,11.99
62,Yellowknife,CA,2021-11-20 19:48:33,62.456,-114.3525,0.41,87,20,12.66
63,Vestmannaeyjar,IS,2021-11-20 19:48:34,63.4427,-20.2734,33.76,65,92,18.92
64,Lebu,CL,2021-11-20 19:48:34,-37.6167,-73.65,58.59,77,3,16.55
65,Lompoc,US,2021-11-20 19:48:34,34.6391,-120.4579,74.08,59,1,5.75
66,Chuy,UY,2021-11-20 19:48:34,-33.6971,-53.4616,74.03,56,0,9.89
67,Zapolyarnyy,RU,2021-11-20 19:48:35,69.4154,30.8136,27.68,82,100,19.26
68,Lorengau,PG,2021-11-20 19:48:35,-2.0226,147.2712,81.14,71,75,3.67
69,Price,US,2021-11-20 19:48:35,39.5994,-110.8107,51.12,34,40,17.27
70,Marzuq,YE,2021-11-20 19:48:36,14.4,46.4667,67.89,46,47,5.48
71,Geraldton,AU,2021-11-20 19:48:36,-28.7667,114.6,60.13,82,0,6.91
72,Necochea,AR,2021-11-20 19:48:36,-38.5473,-58.7368,86.59,26,6,8.57
73,Saint-Philippe,RE,2021-11-20 19:48:37,-21.3585,55.7679,74.75,75,20,8.12
74,Castro,BR,2021-11-20 19:48:37,-24.7911,-50.0119,68.85,71,96,5.28
75,Dawson Creek,CA,2021-11-20 19:48:37,55.7666,-120.2362,4.35,78,1,2.3
76,Ambilobe,MG,2021-11-20 19:48:38,-13.2,49.05,75.54,79,41,3.49
77,Torbay,CA,2021-11-20 19:46:31,47.6666,-52.7314,40.87,81,20,13.8
78,La Palma,US,2021-11-20 19:46:33,33.8464,-118.0467,74.05,72,75,1.01
79,Anadyr,RU,2021-11-20 19:48:38,64.75,177.4833,-14.01,83,20,11.01
80,Mehamn,NO,2021-11-20 19:48:38,71.0357,27.8492,29.17,67,100,22.03
81,New Norfolk,AU,2021-11-20 19:48:39,-42.7826,147.0587,52.75,86,12,2.19
82,Mana,GF,2021-11-20 19:48:39,5.6592,-53.7767,81.86,79,22,9.44
83,Mar Del Plata,AR,2021-11-20 19:44:26,-38.0023,-57.5575,86.02,74,0,14.0
84,Clyde River,CA,2021-11-20 19:48:39,70.4692,-68.5914,5.23,92,20,18.41
85,Gedangan,ID,2021-11-20 19:48:40,-7.3908,112.7267,76.96,94,20,2.3
86,Saldanha,ZA,2021-11-20 19:48:40,-33.0117,17.9442,68.05,76,100,17.36
87,Te Anau,NZ,2021-11-20 19:48:40,-45.4167,167.7167,50.38,90,100,0.16
88,Praia Da Vitoria,PT,2021-11-20 19:48:41,38.7333,-27.0667,66.76,82,40,22.68
89,Sekoma,BW,2021-11-20 19:48:41,-24.4,23.8833,76.51,42,57,14.12
90,Adrar,MR,2021-11-20 19:48:41,20.5022,-10.0711,81.5,21,96,7.83
91,Olinda,BR,2021-11-20 19:48:42,-8.0089,-34.8553,82.13,69,40,6.91
92,Severo-Kurilsk,RU,2021-11-20 19:48:42,50.6789,156.125,36.25,94,100,7.92
93,Srednekolymsk,RU,2021-11-20 19:48:42,67.45,153.6833,-21.32,100,56,4.05
94,Ponta Do Sol,PT,2021-11-20 19:48:42,32.6667,-17.1,65.71,71,100,4.0
95,Nome,US,2021-11-20 19:48:43,64.5011,-165.4064,-0.33,61,1,4.61
96,Talnakh,RU,2021-11-20 19:48:43,69.4865,88.3972,-18.96,92,24,9.31
97,Makakilo City,US,2021-11-20 19:48:44,21.3469,-158.0858,80.92,64,1,6.91
98,Arraial Do Cabo,BR,2021-11-20 19:48:44,-22.9661,-42.0278,73.36,78,75,14.97
99,Puerto Ayora,EC,2021-11-20 19:48:44,-0.7393,-90.3518,78.76,73,38,10.78
100,Shingu,JP,2021-11-20 19:48:45,33.7333,135.9833,56.1,78,27,6.02
101,Dikson,RU,2021-11-20 19:48:45,73.5069,80.5464,-8.81,87,65,15.9
102,Port Elizabeth,ZA,2021-11-20 19:48:45,-33.918,25.5701,64.69,72,75,13.8
103,Padang,ID,2021-11-20 19:48:45,-0.9492,100.3543,75.25,84,97,3.09
104,Carnarvon,AU,2021-11-20 19:48:46,-24.8667,113.6333,69.87,88,75,12.66
105,Chapais,CA,2021-11-20 19:48:46,49.7834,-74.8492,28.18,75,100,11.3
106,Mareeba,AU,2021-11-20 19:48:46,-17.0,145.4333,66.92,94,5,2.24
107,Palmas,BR,2021-11-20 19:48:46,-10.2128,-48.3603,89.47,62,40,5.75
108,Brae,GB,2021-11-20 19:48:47,60.3964,-1.353,42.71,73,97,25.5
109,Deputatskiy,RU,2021-11-20 19:48:47,69.3,139.9,-6.05,98,100,2.89
110,Port Alfred,ZA,2021-11-20 19:48:47,-33.5906,26.891,64.35,73,100,16.11
111,San Rafael,AR,2021-11-20 19:48:48,-34.6177,-68.3301,86.59,37,75,12.66
112,Kavieng,PG,2021-11-20 19:48:48,-2.5744,150.7967,81.59,76,23,6.98
113,Kapaa,US,2021-11-20 19:48:48,22.0752,-159.319,80.92,77,40,3.0
114,Aklavik,CA,2021-11-20 19:48:49,68.2191,-135.0107,4.03,85,75,4.61
115,Atuona,PF,2021-11-20 19:48:49,-9.8,-139.0333,79.27,71,2,14.56
116,Aksu,CN,2021-11-20 19:48:49,41.1231,80.2644,28.33,45,0,3.4
117,Otacilio Costa,BR,2021-11-20 19:48:50,-27.4831,-50.1219,72.05,58,3,4.68
118,Bambous Virieux,MU,2021-11-20 19:48:50,-20.3428,57.7575,76.21,73,75,9.22
119,Waipawa,NZ,2021-11-20 19:48:51,-41.4122,175.5153,58.46,58,99,8.88
120,Pingyin,CN,2021-11-20 19:48:51,36.2831,116.4453,47.41,93,100,7.52
121,Beringovskiy,RU,2021-11-20 19:48:51,63.05,179.3167,-2.13,95,40,7.85
